(suap) imac-ifrn-misael:suap misaelbarreto$ python manage.py curso_campus_definir_fec;;;;;;;
;;;;;;;
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ;;;;;;;
Curso Campus - Planilha para Definir FEC (Fator de Esforço do Curso) Em Lote;;;;;;;
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ;;;;;;;
Início do processamento: 07/03/2017 - 16:01:42;;;;;;;
;;;;;;;

Id;Descrição;Modalidade;Natureza;Ano Letivo;Período Letivo;FEC;Ativo

{{BEGIN}}
552;FIC+ Agente de Gestão de Resíduos Sólidos [PRONATEC 2012] - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
528;FIC+ Agente de Gestão de Resíduos Sólidos [PRONATEC 2012] - Câmpus Pau dos Ferros;FIC;----;----;----;1.00;NAO
691;FIC+ Agente de Gestão de Resíduos Sólidos [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
748;FIC+ Agente de Gestão de Resíduos Sólidos [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
642;FIC+ Agente de Limpeza em Aeronaves [PRONATEC 2013] - Campus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
497;FIC+ Agente de Projetos Sociais  [PRONATEC 2012] - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
450;FIC+ Agente de Projetos Sociais  [PRONATEC 2012] - Câmpus Parnamirim;FIC;----;----;----;1.00;NAO
823;FIC+ Agente de Projetos Sociais [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
811;FIC+ Agente de Projetos Sociais [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
966;FIC+ Agricultor Familiar [Mulheres Mil];FIC;Presencial;2016;2;1.00;SIM
622;FIC+ Agricultor Familiar [PRONATEC 2013] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
668;FIC+ Agricultor Familiar [PRONATEC 2013] - Câmpus Canguaretama;FIC;----;----;----;1.00;NAO
922;FIC+ Agricultor Familiar [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
695;FIC+ Agricultor Familiar [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
822;FIC+ Agricultor Familiar [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
786;FIC+ Agricultor Familiar [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
894;FIC+ Agricultura Familiar [Mulheres Mil 2015];FIC;Presencial;2015;1;1.00;SIM
592;FIC+ Ajustador Mecânico [PRONATEC 2013] - Campus Mossoró;FIC;----;----;----;1.00;NAO
713;FIC+ Ajustador Mecânico [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
602;FIC+ Almoxarife [PRONATEC 2012] - Campus Apodi;FIC;----;----;----;1.00;NAO
603;FIC+ Almoxarife [PRONATEC 2012] - Campus Mossoró;FIC;----;----;----;1.00;NAO
584;FIC+ Almoxarife [PRONATEC 2012] - Campus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
714;FIC+ Almoxarife [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
910;FIC+ Almoxarife [PRONATEC];FIC;Presencial;2015;1;1.00;SIM
545;FIC+ Apicultor [PRONATEC 2012] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
512;FIC+ Apicultor [PRONATEC];FIC;Presencial;2014;2;1.00;SIM
617;FIC+ Artesanato com Material Reciclável [Mulheres Mil 2013] - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
831;FIC+ Artesão de Cerâmica [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
746;FIC+ Assistente Administrativo [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
738;FIC+ Assistente Administrativo [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
818;FIC+ Assistente Administrativo [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
841;FIC+ Assistente Administrativo [PRONATEC];FIC;Presencial;2015;1;1.00;SIM
694;FIC+ Assistente Administrativo [PRONATEC];FIC;EaD;2013;2;1.00;SIM
643;FIC+ Assistente de Produção Cultural [PRONATEC 2013] - Câmpus Cidade-Alta;FIC;----;----;----;1.00;NAO
887;FIC+ Assistente de Produção Cultural [PRONATEC];FIC;Presencial;2015;1;1.00;SIM
57;FIC+ Atualização de Professores em Educação Inclusiva - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
56;FIC+ Atualização em Educação Ambiental e Geografia do Semi-árido - Matutino (2005) - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
676;FIC+ Auxiliar Administrativo [Mulheres Mil 2013] - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
639;FIC+ Auxiliar Administrativo [Mulheres Mil 2013] - Câmpus João Camara;FIC;----;----;----;1.00;NAO
675;FIC+ Auxiliar Administrativo [Mulheres Mil 2013] - Câmpus Mossoró;FIC;----;----;----;1.00;NAO
674;FIC+ Auxiliar Administrativo [Mulheres Mil 2013] - Câmpus Natal-Central;FIC;----;----;----;1.00;NAO
768;FIC+ Auxiliar Administrativo [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
772;FIC+ Auxiliar Administrativo [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
813;FIC+ Auxiliar Administrativo [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
742;FIC+ Auxiliar Administrativo [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
838;FIC+ Auxiliar Administrativo [Mulheres Mil] ;FIC;Presencial;2015;1;1.00;SIM
536;FIC+ Auxiliar Administrativo [PRONATEC 2012] - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
641;FIC+ Auxiliar Administrativo [PRONATEC 2012] - Câmpus Mossoró;FIC;----;----;----;1.00;NAO
520;FIC+ Auxiliar Administrativo [PRONATEC 2012] - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
636;FIC+ Auxiliar Administrativo [PRONATEC 2012] - Câmpus Nova Cruz;FIC;----;----;----;1.00;NAO
541;FIC+ Auxiliar Administrativo [PRONATEC 2012] - Câmpus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
793;FIC+ Auxiliar Administrativo [PRONATEC];FIC;Presencial;2014;2;1.00;NAO
789;FIC+ Auxiliar Tecnico em Agropecuaria [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
628;FIC+ Auxiliar Técnico em Agropecuária [PRONATEC 2013] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
627;FIC+ Auxiliar Técnico em Criador de Animais de Pequeno Porte [PRONATEC 2013] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
616;FIC+ Auxiliar Técnico em Processamento do Leite  [Mulheres Mil 2013] - Campus Santa Cruz;FIC;----;----;----;1.00;NAO
494;FIC+ Auxiliar de Arquivo  [PRONATEC 2012] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
493;FIC+ Auxiliar de Arquivo  [PRONATEC 2012] - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
453;FIC+ Auxiliar de Arquivo  [PRONATEC 2012] - Câmpus Parnamirim;FIC;----;----;----;1.00;NAO
908;FIC+ Auxiliar de Arquivo [PRONATEC];FIC;Presencial;2015;1;1.00;SIM
777;FIC+ Auxiliar de Arquivo [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
517;FIC+ Auxiliar de Cozinha [PRONATEC 2012] - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
455;FIC+ Auxiliar de Eletricista  [PRONATEC 2012] - Câmpus Parnamirim;FIC;Presencial;2016;1;1.00;SIM
885;FIC+ Auxiliar de Eletricista [PRONATEC];FIC;Presencial;2015;1;1.00;SIM
591;FIC+ Auxiliar de Instalações Hidráulicas [PRONATEC 2013] - Campus Mossoró;FIC;----;----;----;1.00;NAO
667;FIC+ Auxiliar de Laboratório Químico [PRONATEC 2012] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
518;FIC+ Auxiliar de Laboratório Químico [PRONATEC 2012] - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
753;FIC+ Auxiliar de Laboratório de Saneamento [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
607;FIC+ Auxiliar de Operações Logísticas [PRONATEC 2013] - Campus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
550;FIC+ Auxiliar de Pessoal [PRONATEC 2012] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
510;FIC+ Auxiliar de Pessoal [PRONATEC 2012] - Câmpus Nova Cruz;FIC;----;----;----;1.00;NAO
698;FIC+ Auxiliar de Recursos Humanos [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
703;FIC+ Auxiliar de Recursos Humanos [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
920;FIC+ Auxiliar de Recursos Humanos [PRONATEC];FIC;Presencial;2016;1;1.00;SIM
712;FIC+ Auxiliar de Recursos Humanos [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
741;FIC+ Auxiliar de Recursos Humanos [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
747;FIC+ Auxiliar de Recursos Humanos [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
560;FIC+ Auxiliar de Recursos humanos [PRONATEC 2012] - Câmpus João Camara;FIC;----;----;----;1.00;NAO
573;FIC+ Auxiliar de Recursos humanos [PRONATEC 2012] - Câmpus Parnamirim;FIC;----;----;----;1.00;NAO
519;FIC+ Auxiliar de Recursos humanos [PRONATEC 2012] - Câmpus Pau dos Ferros;FIC;----;----;----;1.00;NAO
454;FIC+ Auxiliar de Secretaria Escolar  [PRONATEC 2012] - Câmpus Parnamirim;FIC;----;----;----;1.00;NAO
542;FIC+ Auxiliar de Secretaria Escolar (PRONATEC 2012) - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
501;FIC+ Auxiliar de Secretaria Escolar (PRONATEC 2012) - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
496;FIC+ Auxiliar de Secretaria Escolar [PRONATEC 2012] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
549;FIC+ Auxiliar em Aconselhador em Dependência Química  [PRONATEC 2012] - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
575;FIC+ Auxiliar em Aconselhador em Dependência Química  [PRONATEC 2012] - Câmpus Parnamirim;FIC;----;----;----;1.00;NAO
702;FIC+ Auxiliar em Aconselhador em Dependência Química [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
699;FIC+ Auxiliar em Aconselhador em Dependência Química [PRONATEC];FIC;Presencial;2013;2;1.00;SIM
635;FIC+ Auxiliar em Administração [Mulheres Mil 2013] - Câmpus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
503;FIC+ Auxiliar em Administração de Redes [PRONATEC 2012] - Currais Novos;FIC;----;----;----;1.00;NAO
504;FIC+ Auxiliar em Administração de Redes [PRONATEC 2012] - Câmpus Natal Central;FIC;----;----;----;1.00;NAO
505;FIC+ Auxiliar em Web Designer [PRONATEC 2012] - Câmpus Currais Novos;FIC;----;----;----;1.00;NAO
539;FIC+ Auxiliar em Web Designer [PRONATEC 2012] - Câmpus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
757;FIC+ Auxiliar em Web Designer [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
500;FIC+ Auxiliar em Web Designer [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
784;FIC+ Auxiliar em Web Designer [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
886;FIC+ Auxiliar em instalações Hidráulicas [PRONATEC];FIC;Presencial;2015;1;1.00;SIM
569;FIC+ Beneficiamento de Produtos oriundos da apicultura e/ou meliponicultura [Mulheres Mil 2012] - Câmpus Pau dos Ferros;FIC;----;----;----;1.00;NAO
634;FIC+ Beneficiamento e Gastronomia do Pescado [Mulheres Mil 2013] - Câmpus Macau;FIC;----;----;----;1.00;NAO
679;FIC+ Boneleiro [PRONATEC 2013] - Campus Caicó;FIC;----;----;----;1.00;NAO
666;FIC+ Cadista para a  Construção Civil [PRONATEC 2013] - Campus Apodi;FIC;----;----;----;1.00;NAO
586;FIC+ Cadista para a  Construção Civil [PRONATEC 2013] - Campus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
317;FIC+ Caldeireiro  - Campus Mossoró;FIC;----;----;----;1.00;NAO
543;FIC+ Camareira [Mulheres Mil 2012] - Câmpus Cidade-Alta;FIC;----;----;----;1.00;NAO
812;FIC+ Camareira [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
791;FIC+ Camareira [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
781;FIC+ Camareira [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
582;FIC+ Camareira em Meios de Hospedagem [PRONATEC 2012] - Câmpus Cidade Alta;FIC;----;----;----;1.00;NAO
665;FIC+ Camareira em Meios de Hospedagem [rever] - Câmpus CN;FIC;----;----;----;1.00;NAO
731;FIC+ Condutor Ambiental [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
568;FIC+ Corte e Costura [Mulheres Mil 2012] - Câmpus Pau dos Ferros;FIC;----;----;----;1.00;NAO
790;FIC+ Corte e Costura [Mulheres Mil];FIC;Presencial;2014;2;1.00;SIM
646;FIC+ Corte e Costura: Vestuário e Modelagem [2013] - Câmpus João Camara;FIC;----;----;----;1.00;NAO
471;FIC+ Corte e Costura: Vestuários Masculinos e Femininos - [Mulheres Mil 2012] - Câmpus Apodi;FIC;----;----;----;1.00;NAO
870;FIC+ Costureiro [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
795;FIC+ Costureiro [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
673;FIC+ Cuidador de Idoso [Mulheres Mil 2013] - Câmpus Natal-Central;FIC;----;----;----;1.00;NAO
745;FIC+ Cuidador de Idoso [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
892;FIC+ Cuidador de Idoso [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
769;FIC+ Cuidador de Idoso [Mulheres Mil];FIC;Presencial;2014;1;1.00;SIM
744;FIC+ Cuidador de Idoso [Mulheres Mil];FIC;Presencial;2013;2;1.00;SIM
624;FIC+ Cuidador de Idoso [PRONATEC 2013] - Câmpus João Camara;FIC;----;----;----;1.00;NAO
621;FIC+ Cuidador de Idoso [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
623;FIC+ Cuidador de Idoso [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
593;FIC+ Desenhista Mecânico [PRONATEC 2013] - Câmpus Mossoró;FIC;----;----;----;1.00;NAO
816;FIC+ Desenhista Mecânico [PRONATEC];FIC;Presencial;2014;1;1.00;SIM
717;FIC+ Desenhista Mecânico [PRONATEC];FIC;Presencial;2013;2;1.07;SIM
318;FIC+ Desenhista Projetista de Civil  - Campus Mossoró;FIC;----;----;----;1.00;NAO
319;FIC+ Desenhista Projetista de Elétrica  - Campus Mossoró;FIC;----;----;----;1.00;NAO
321;FIC+ Desenhista Projetista de Tubulação  - Campus Mossoró;FIC;----;----;----;1.00;NAO
601;FIC+ Desenhista da Construção Civil [PRONATEC 2013] - Câmpus Caicó;FIC;----;----;----;1.00;NAO
588;FIC+ Desenhista da Construção Civil [PRONATEC 2013] - Câmpus São Gonçalo do Amarante;FIC;----;----;----;1.00;NAO
688;FIC+ Desenhista da Construção Civil [PRONATEC];FIC;Presencial;2013;1;1.00;SIM
677;FIC+ Desenhista de Moda [PRONATEC 2013] - Campus Caicó;FIC;----;----;----;1.00;NAO
